img_id,vehicle_type
023697,3
018276,1
013093,2
005987,1
026652,1
002160,2
008885,2
036270,2
008186,3
016313,1
017056,2
002268,2
024608,3
004700,2
032361,4
029326,1
024299,3
016827,3
035610,2
036690,2
029175,1
014805,1
030734,4
001350,1
032702,4
009893,2
026540,3
036309,4
001192,2
013783,3
003992,2
023250,2
013473,2
005654,1
006900,1
023154,3
014058,2
033957,3
007760,1
012901,4
008135,2
013569,2
005424,2
014887,2
013527,4
012007,1
026232,3
002999,4
011531,3
008114,1
009563,1
027120,7
008517,2
026929,1
007819,2
002654,1
005248,2
026696,1
012258,2
024134,1
003276,3
002953,2
000276,1
020426,2
022866,2
002232,1
017088,1
017896,3
004718,1
007316,2
026458,2
022598,4
006569,1
026252,3
010790,1
011935,2
023353,2
029198,2
027234,1
009714,4
035334,1
020714,4
020770,2
034962,4
016238,1
024432,2
018929,2
010210,1
033717,1
003679,2
010803,2
031868,3
018376,3
000242,3
015943,2
028503,1
031528,8
035266,2
008015,4
003006,2
032239,1
013446,2
016559,2
028784,4
013088,3
029477,4
001268,4
003204,2
009328,2
021051,4
032356,4
031673,1
030092,1
032943,2
030304,1
009953,2
036927,1
033367,1
017744,2
001409,2
025904,2
033679,1
035664,2
012252,4
029095,1
018336,4
028059,4
036162,1
025879,4
032854,1
008067,2
028538,1
005370,3
025253,3
021875,2
024255,1
011791,1
019438,2
024178,2
007908,4
015523,2
013389,1
019028,7
008818,1
022836,3
020543,1
028905,1
001179,2
010069,2
021226,3
031064,3
026527,2
034993,2
015891,1
036412,1
002167,2
022395,1
029935,1
021212,2
018741,2
032816,1
005036,3
019614,2
035093,3
025074,1
024332,2
019582,1
023888,4
007870,2
013378,2
019165,3
032794,3
035507,1
008025,3
013815,1
019500,4
026414,2
030462,3
024502,1
001099,1
016405,4
008528,2
015883,2
003617,1
016877,1
007488,4
026096,4
001443,1
019915,2
005814,1
005949,4
027935,2
008306,3
018530,2
025609,1
011958,1
024356,1
029122,4
008532,3
004328,8
015964,3
024871,3
024351,2
006352,1
023477,1
002898,3
036004,2
029261,1
031515,2
000666,3
009703,1
013012,1
028420,2
026943,6
007431,4
033569,1
000798,1
001436,3
000245,2
021613,1
006707,4
027957,6
011112,2
033651,1
028269,1
018883,2
009774,4
019840,2
003261,2
002340,2
036364,3
021642,2
016899,1
001902,2
035581,1
026305,2
034379,2
032836,2
014335,3
023674,3
014092,1
003871,1
003771,1
005416,8
015970,4
011522,3
014850,2
011327,2
019851,4
002782,3
012733,1
014566,2
001908,2
024560,1
035937,2
024411,1
016135,2
000017,1
012897,2
017493,1
006805,2
010437,1
009408,2
023864,2
008653,2
013184,1
024846,4
030297,1
002914,3
030839,2
036701,4
028404,2
010750,1
004110,1
016564,2
029093,3
003767,2
033634,2
030587,2
013164,1
033117,1
032671,4
028497,2
034831,2
023635,5
011672,1
013158,1
000556,3
003183,2
036281,4
023665,1
016199,1
027982,3
027244,2
017518,2
007300,4
026107,3
016582,4
012758,3
033019,1
025572,2
021115,2
017626,3
033025,6
020088,4
028168,3
015704,2
031976,1
023065,1
002847,3
001538,2
022404,3
012382,4
004169,4
006963,2
034888,2
029208,4
024262,2
025505,2
007198,2
004522,1
020676,3
020943,3
035845,1
018125,1
021102,2
025680,1
003773,3
009798,1
021062,2
004172,1
024924,2
002889,2
013051,1
013307,1
017311,4
034281,2
011956,2
013449,3
005382,3
022356,2
008140,1
003534,3
032195,1
023017,2
010292,1
015691,4
019392,2
009083,3
021441,1
025144,1
000472,1
032036,4
014796,1
032859,1
010588,2
012512,1
024814,2
002023,2
035362,1
011912,1
035891,1
021008,3
005043,1
024785,1
028609,2
012850,3
023718,6
022740,3
001762,1
015786,4
036342,2
034441,2
020882,3
015690,3
015044,2
003990,2
012611,1
021098,3
026727,2
016733,1
034101,1
031872,2
022166,2
014529,2
001105,3
001017,2
006716,4
001822,1
007571,3
023053,1
027408,2
012797,3
022568,3
030833,1
000197,5
002017,2
019075,1
017340,1
028380,1
023037,4
000519,2
035614,1
018044,1
003102,2
004676,1
024597,3
009058,1
033751,6
028542,3
000061,1
018833,2
000706,3
015713,4
036045,1
029641,1
022789,1
010374,1
030237,2
003327,1
001013,2
019002,3
005526,1
028774,1
016971,1
029769,2
007912,2
031682,2
010088,1
033709,1
014580,2
015332,2
013113,3
025748,2
025051,2
012819,1
018812,4
017465,3
033341,2
000542,2
003257,4
000012,1
012370,1
030471,4
020324,1
015488,1
019570,2
002655,4
003777,2
002131,2
021055,1
012748,2
012745,1
023136,1
015045,3
033885,1
005331,3
025474,1
002477,2
027410,3
019792,2
006851,1
023732,3
003457,3
024803,1
021371,2
000855,3
034134,1
013933,1
028281,3
023937,6
036113,3
027071,2
034860,3
027304,1
022734,1
011934,3
016337,2
012933,2
001469,2
007598,6
027585,1
005805,1
035767,1
028274,4
012771,3
027024,1
029024,6
030981,1
036633,3
015950,2
023466,3
006593,1
002952,4
021806,2
024431,2
004275,4
024076,1
018991,4
009936,1
033475,4
006831,3
017145,1
018495,2
000250,3
017324,1
036840,3
023151,2
007715,3
030893,3
011223,2
017368,2
019592,2
007479,4
012378,2
019380,1
016643,3
022890,2
011723,1
025031,2
031871,4
030413,2
002799,3
002878,4
013133,4
026770,2
014419,3
028126,1
021773,3
028085,3
005972,3
001123,1
021681,1
029370,1
019215,3
027743,2
008878,1
020787,4
004459,2
035471,3
001251,2
018357,2
019361,1
016363,1
001607,3
033970,1
035620,2
021810,1
030782,2
014721,2
019979,2
028350,4
001522,1
010204,4
027252,1
017816,2
010208,1
033613,2
021344,3
003056,2
000183,1
026065,2
032194,1
025093,3
010019,1
013004,3
001091,2
029709,4
023899,2
001928,2
006177,2
020967,1
024888,4
000022,2
026968,2
002645,1
013401,1
022419,1
020457,2
030712,3
033464,2
004599,2
012251,4
024293,2
032545,2
027519,1
010987,8
028078,2
030889,3
004053,1
024259,4
015358,4
011474,1
029445,1
033581,3
016752,2
035835,1
013368,2
001651,4
008571,3
008583,8
030648,2
010280,3
025763,1
000039,1
001852,2
027942,2
034188,1
011487,2
020194,1
027272,1
005957,2
007909,4
029333,2
021637,4
016027,3
000174,3
027694,2
009036,3
014322,2
031681,1
013317,2
028416,3
030174,1
023087,1
016350,1
011303,2
004309,3
005876,2
016608,3
005534,2
036069,1
018726,1
031182,3
027619,1
027159,1
024373,4
036542,1
002071,2
032372,1
014203,1
031732,4
008481,2
019773,2
019133,1
021589,2
010161,4
025017,4
002580,2
009636,3
006967,1
008606,1
013085,2
003331,1
028692,4
015687,2
009420,2
017671,1
025910,1
034250,1
030492,1
011952,1
026052,2
019103,1
024537,3
031543,3
008906,4
021349,2
036478,1
006788,2
015472,2
008342,1
029387,2
011006,3
023673,8
003293,1
015887,2
002392,2
003285,2
027246,1
013430,2
009350,2
031915,1
008919,2
022898,3
014868,4
029118,2
016579,1
004972,1
025055,1
025015,2
029107,2
009865,4
006845,2
019054,1
017775,3
008628,2
010612,1
034486,3
032218,1
030532,2
025294,3
020183,1
017689,1
008239,2
019239,1
018479,1
027851,2
017547,3
007031,2
000109,2
022839,5
027227,3
015820,2
023670,1
029647,1
027877,2
013906,4
025217,2
005868,1
012902,2
028768,3
022080,1
023169,1
001167,1
017234,1
003391,1
032935,1
036297,2
032277,2
017514,1
031823,1
012666,1
017489,2
009418,2
028388,4
035121,1
033690,1
029435,1
001994,8
006068,1
030101,1
016072,2
019036,1
002755,1
034507,3
009319,1
006154,2
032599,2
005059,2
010676,1
029259,1
016978,2
015735,2
010517,1
018683,1
013427,4
000812,2
033922,2
000328,1
036444,3
029255,1
011823,1
004499,2
018571,1
014636,1
010920,2
029941,4
029539,2
003629,4
000750,2
009289,1
036672,3
021640,2
007056,1
015667,2
005881,1
027464,1
012105,2
020973,2
006574,1
016509,2
025836,4
003247,2
009750,1
009890,3
005183,3
012310,1
006958,2
000336,2
036410,1
006554,5
002289,3
035172,3
010600,1
010731,4
016344,1
014471,1
003548,1
016202,1
030797,1
028658,6
000889,2
000233,1
018592,2
033299,1
035691,2
012373,4
009651,2
000516,2
010813,2
006360,1
022048,1
029335,2
024897,4
017475,3
007511,3
015372,3
000080,1
013090,2
025034,2
002819,1
028844,1
007705,3
035098,1
008861,2
013283,1
005742,2
023840,1
036566,2
001552,1
035144,2
029944,2
035078,6
029621,2
013717,1
026340,2
003853,1
031459,1
008976,4
013969,1
024932,1
033543,2
007599,4
005559,4
026849,2
015914,2
007861,2
012563,1
014981,1
008726,1
022875,1
036425,2
018114,1
018616,1
025988,4
018230,1
002557,1
026006,3
004114,1
007998,2
034273,2
034607,3
012774,4
004029,3
017732,2
027081,2
029147,2
019655,3
012851,1
007948,4
026086,2
015705,1
032602,2
011067,2
014671,2
003238,1
031202,1
012915,2
027088,8
010883,1
016053,6
025579,3
026154,1
014132,4
017507,2
015636,2
001097,4
011339,1
008452,2
027900,3
016822,2
018475,2
018548,1
034813,2
003015,2
014319,3
022809,1
035832,2
008317,2
021739,1
020024,2
027178,1
018922,2
018690,1
018218,6
014497,1
027806,1
021853,2
018829,1
012057,6
010779,3
006875,1
003850,1
015426,1
029298,1
021262,2
013495,2
031721,1
011851,3
030982,2
005138,1
018083,3
031414,3
002301,2
035104,1
005713,2
021839,2
023026,2
020208,2
021209,3
011136,2
009693,2
012541,2
021326,1
000342,1
017203,2
005039,1
013117,4
018908,1
013684,2
003508,2
036428,2
027597,2
023014,2
015450,1
019152,1
026054,2
033194,2
017117,3
027798,6
033551,2
033177,2
022844,3
001932,1
022968,3
035159,2
004760,1
023297,1
020633,4
010614,1
002563,6
018514,1
001187,2
006357,3
028391,2
004022,3
003097,2
001726,1
036292,1
002759,2
016345,2
008938,2
023515,2
020984,2
030515,2
005434,3
033982,2
028879,2
016234,2
010121,1
012653,1
014115,4
020228,1
034872,2
029314,3
019981,2
006335,1
006548,1
010061,1
035396,1
009487,3
012882,2
023318,6
012815,2
014587,2
004885,2
016802,2
001943,1
017685,4
017440,2
024772,2
006946,3
019099,6
028303,2
018055,2
011580,2
036344,2
012794,1
034708,1
022032,1
003218,1
002642,3
006162,2
000779,1
018212,2
015299,2
033508,1
007651,2
016927,2
016049,2
009983,1
035049,2
019635,1
036010,6
031889,2
001536,4
026187,2
031354,4
025688,2
013494,1
018577,1
012814,3
021056,3
008996,2
010667,4
018931,1
019514,1
025168,1
027925,1
030410,2
028954,3
034380,3
034098,1
005330,3
034754,1
036884,2
000500,2
016651,2
010706,2
035777,3
018491,4
006446,3
005598,2
012643,1
023667,2
033490,2
021211,1
034601,1
016056,2
013530,1
007321,1
031934,2
001773,2
013028,2
016624,1
013646,3
036850,2
000441,3
017090,2
026964,3
001272,4
021042,4
017357,1
029612,3
026036,2
034416,2
023985,1
024215,2
021984,4
023118,2
020590,2
030621,2
026796,1
002576,2
026403,1
014554,2
031752,6
008199,4
021107,2
001422,2
017785,1
004713,1
036883,4
006802,3
030472,3
031249,2
004645,3
027373,7
009994,2
027963,3
033203,4
007666,1
028499,2
006890,3
023149,3
007941,1
027446,2
014060,1
007475,2
005603,2
027214,2
031321,4
018342,2
012895,1
035076,3
019268,1
009866,1
017080,2
020885,2
013168,1
018645,2
006062,2
010443,1
030228,2
000527,3
015010,2
034545,1
019299,2
031403,2
007786,3
012683,2
025805,1
002485,1
006353,1
006282,2
035758,2
034718,2
028848,1
004554,3
025801,4
003010,1
035460,2
006610,1
016383,2
000292,2
026277,4
011734,1
021219,1
027102,3
033748,8
025220,2
001295,3
006965,2
025279,2
033656,2
028203,2
015273,6
033601,2
009661,1
013992,2
006636,1
019941,2
018291,2
011035,1
006394,7
032329,4
000733,2
003448,1
032200,1
002861,1
000976,1
020612,3
008304,4
010576,2
015204,3
034149,3
002709,5
007835,2
001160,1
026913,2
025332,1
030102,2
028709,2
016749,1
017566,2
010981,2
013070,3
002014,4
033657,2
011810,3
011681,1
019998,1
005580,2
020783,3
006664,4
001126,3
002049,1
028368,2
002227,1
021362,2
014328,2
009325,1
006169,2
026703,2
